month,region,product,channel,units,price_per_unit,revenue,gross_margin
2026-03-01,West,GlucoCare,Hospital,673,42.0,28266.0,0.222
2026-03-01,West,GlucoCare,Retail,768,42.0,32256.0,0.322
2026-03-01,West,GlucoCare,Online,522,62.0,32364.0,0.274
2026-03-01,West,Respira,Hospital,766,48.0,36768.0,0.301
2026-03-01,West,Respira,Retail,694,70.0,48580.0,0.384
2026-03-01,West,Respira,Online,538,42.0,22596.0,0.224
2026-03-01,West,NeuroPlus,Hospital,813,48.0,39024.0,0.24
2026-03-01,West,NeuroPlus,Retail,621,55.0,34155.0,0.28
2026-03-01,West,NeuroPlus,Online,340,42.0,14280.0,0.27
2026-04-01,North,CardioMax,Hospital,842,55.0,46310.0,0.204
2026-04-01,North,CardioMax,Retail,192,70.0,13440.0,0.192
2026-04-01,North,CardioMax,Online,435,70.0,30450.0,0.204
2026-04-01,North,GlucoCare,Hospital,772,70.0,54040.0,0.397
2026-04-01,North,GlucoCare,Retail,307,70.0,21490.0,0.372
2026-04-01,North,GlucoCare,Online,571,62.0,35402.0,0.334
2026-04-01,North,Respira,Hospital,600,62.0,37200.0,0.212
2026-04-01,North,Respira,Retail,764,55.0,42020.0,0.303
2026-04-01,North,Respira,Online,874,70.0,61180.0,0.291
2026-04-01,North,NeuroPlus,Hospital,731,48.0,35088.0,0.333
2026-04-01,North,NeuroPlus,Retail,314,48.0,15072.0,0.214
2026-04-01,North,NeuroPlus,Online,458,55.0,25190.0,0.28
2026-04-01,South,CardioMax,Hospital,591,48.0,28368.0,0.268
2026-04-01,South,CardioMax,Retail,513,48.0,24624.0,0.259
2026-04-01,South,CardioMax,Online,458,48.0,21984.0,0.345
2026-04-01,South,GlucoCare,Hospital,303,48.0,14544.0,0.408
2026-04-01,South,GlucoCare,Retail,643,70.0,45010.0,0.295
2026-04-01,South,GlucoCare,Online,720,48.0,34560.0,0.309
2026-04-01,South,Respira,Hospital,869,70.0,60830.0,0.337
2026-04-01,South,Respira,Retail,277,70.0,19390.0,0.308
2026-04-01,South,Respira,Online,717,62.0,44454.0,0.249
2026-04-01,South,NeuroPlus,Hospital,257,62.0,15934.0,0.229
2026-04-01,South,NeuroPlus,Retail,586,62.0,36332.0,0.387
2026-04-01,South,NeuroPlus,Online,836,42.0,35112.0,0.327
2026-04-01,East,CardioMax,Hospital,616,42.0,25872.0,0.354
2026-04-01,East,CardioMax,Retail,573,42.0,24066.0,0.405
2026-04-01,East,CardioMax,Online,684,42.0,28728.0,0.41
2026-04-01,East,GlucoCare,Hospital,252,70.0,17640.0,0.322
2026-04-01,East,GlucoCare,Retail,467,62.0,28954.0,0.371
2026-04-01,East,GlucoCare,Online,846,70.0,59220.0,0.241
2026-04-01,East,Respira,Hospital,683,55.0,37565.0,0.203
2026-04-01,East,Respira,Retail,526,62.0,32612.0,0.221
2026-04-01,East,Respira,Online,220,55.0,12100.0,0.317
2026-04-01,East,NeuroPlus,Hospital,491,55.0,27005.0,0.305
2026-04-01,East,NeuroPlus,Retail,687,62.0,42594.0,0.372
2026-04-01,East,NeuroPlus,Online,523,55.0,28765.0,0.324
2026-04-01,West,CardioMax,Hospital,228,70.0,15960.0,0.209
2026-04-01,West,CardioMax,Retail,733,42.0,30786.0,0.201
2026-04-01,West,CardioMax,Online,500,62.0,31000.0,0.28
2026-04-01,West,GlucoCare,Hospital,838,62.0,51956.0,0.341
2026-04-01,West,GlucoCare,Retail,689,48.0,33072.0,0.396
2026-04-01,West,GlucoCare,Online,757,62.0,46934.0,0.245
2026-04-01,West,Respira,Hospital,740,48.0,35520.0,0.255
2026-04-01,West,Respira,Retail,364,42.0,15288.0,0.215
2026-04-01,West,Respira,Online,187,70.0,13090.0,0.285
2026-04-01,West,NeuroPlus,Hospital,695,48.0,33360.0,0.355
2026-04-01,West,NeuroPlus,Retail,257,55.0,14135.0,0.405
2026-04-01,West,NeuroPlus,Online,401,62.0,24862.0,0.295
2026-05-01,North,CardioMax,Hospital,229,48.0,10992.0,0.417
2026-05-01,North,CardioMax,Retail,123,62.0,7626.0,0.408
2026-05-01,North,CardioMax,Online,450,42.0,18900.0,0.384
2026-05-01,North,GlucoCare,Hospital,804,62.0,49848.0,0.209
2026-05-01,North,GlucoCare,Retail,492,55.0,27060.0,0.345
2026-05-01,North,GlucoCare,Online,544,42.0,22848.0,0.289
2026-05-01,North,Respira,Hospital,683,70.0,47810.0,0.251
2026-05-01,North,Respira,Retail,875,55.0,48125.0,0.286
2026-05-01,North,Respira,Online,129,48.0,6192.0,0.4
2026-05-01,North,NeuroPlus,Hospital,695,62.0,43090.0,0.207
2026-05-01,North,NeuroPlus,Retail,424,70.0,29680.0,0.391
2026-05-01,North,NeuroPlus,Online,653,48.0,31344.0,0.381
2026-05-01,South,CardioMax,Hospital,153,42.0,6426.0,0.42
2026-05-01,South,CardioMax,Retail,138,62.0,8556.0,0.336
2026-05-01,South,CardioMax,Online,606,42.0,25452.0,0.395
2026-05-01,South,GlucoCare,Hospital,793,42.0,33306.0,0.238
2026-05-01,South,GlucoCare,Retail,473,42.0,19866.0,0.366
2026-05-01,South,GlucoCare,Online,750,42.0,31500.0,0.399
2026-05-01,South,Respira,Hospital,345,62.0,21390.0,0.189
2026-05-01,South,Respira,Retail,124,42.0,5208.0,0.192
2026-05-01,South,Respira,Online,759,62.0,47058.0,0.372
2026-05-01,South,NeuroPlus,Hospital,871,48.0,41808.0,0.384
2026-05-01,South,NeuroPlus,Retail,311,42.0,13062.0,0.372
2026-05-01,South,NeuroPlus,Online,875,70.0,61250.0,0.365
2026-05-01,East,CardioMax,Hospital,779,62.0,48298.0,0.381
2026-05-01,East,CardioMax,Retail,468,42.0,19656.0,0.228
2026-05-01,East,CardioMax,Online,208,42.0,8736.0,0.301
2026-05-01,East,GlucoCare,Hospital,541,62.0,33542.0,0.331
2026-05-01,East,GlucoCare,Retail,187,70.0,13090.0,0.217
2026-05-01,East,GlucoCare,Online,754,62.0,46748.0,0.226
2026-05-01,East,Respira,Hospital,132,48.0,6336.0,0.35
2026-05-01,East,Respira,Retail,527,70.0,36890.0,0.327
2026-05-01,East,Respira,Online,517,42.0,21714.0,0.328
2026-05-01,East,NeuroPlus,Hospital,123,42.0,5166.0,0.392
2026-05-01,East,NeuroPlus,Retail,477,62.0,29574.0,0.222
2026-05-01,East,NeuroPlus,Online,409,42.0,17178.0,0.224
2026-05-01,West,CardioMax,Hospital,413,70.0,28910.0,0.29
2026-05-01,West,CardioMax,Retail,543,62.0,33666.0,0.333
2026-05-01,West,CardioMax,Online,800,55.0,44000.0,0.215
2026-05-01,West,GlucoCare,Hospital,313,70.0,21910.0,0.252
2026-05-01,West,GlucoCare,Retail,446,55.0,24530.0,0.348
2026-05-01,West,GlucoCare,Online,320,62.0,19840.0,0.406
2026-05-01,West,Respira,Hospital,243,42.0,10206.0,0.302
2026-05-01,West,Respira,Retail,658,55.0,36190.0,0.294
2026-05-01,West,Respira,Online,220,42.0,9240.0,0.212
2026-05-01,West,NeuroPlus,Hospital,859,48.0,41232.0,0.253
2026-05-01,West,NeuroPlus,Retail,599,55.0,32945.0,0.327
2026-05-01,West,NeuroPlus,Online,432,62.0,26784.0,0.279
2026-06-01,North,CardioMax,Hospital,239,55.0,13145.0,0.232
2026-06-01,North,CardioMax,Retail,860,55.0,47300.0,0.256
2026-06-01,North,CardioMax,Online,837,42.0,35154.0,0.28
2026-06-01,North,GlucoCare,Hospital,492,55.0,27060.0,0.234
2026-06-01,North,GlucoCare,Retail,194,55.0,10670.0,0.316
2026-06-01,North,GlucoCare,Online,579,62.0,35898.0,0.336
2026-06-01,North,Respira,Hospital,577,62.0,35774.0,0.256
2026-06-01,North,Respira,Retail,312,62.0,19344.0,0.312
2026-06-01,North,Respira,Online,273,55.0,15015.0,0.33
2026-06-01,North,NeuroPlus,Hospital,530,48.0,25440.0,0.303
2026-06-01,North,NeuroPlus,Retail,750,62.0,46500.0,0.393
2026-06-01,North,NeuroPlus,Online,220,70.0,15400.0,0.301
2026-06-01,South,CardioMax,Hospital,692,55.0,38060.0,0.372
2026-06-01,South,CardioMax,Retail,311,48.0,14928.0,0.381
2026-06-01,South,CardioMax,Online,419,55.0,23045.0,0.208
2026-06-01,South,GlucoCare,Hospital,163,42.0,6846.0,0.382
2026-06-01,South,GlucoCare,Retail,761,42.0,31962.0,0.247
2026-06-01,South,GlucoCare,Online,560,48.0,26880.0,0.222
2026-06-01,South,Respira,Hospital,690,48.0,33120.0,0.358
2026-06-01,South,Respira,Retail,824,42.0,34608.0,0.379
2026-06-01,South,Respira,Online,670,70.0,46900.0,0.269
2026-06-01,South,NeuroPlus,Hospital,673,42.0,28266.0,0.324
2026-06-01,South,NeuroPlus,Retail,641,42.0,26922.0,0.268
2026-06-01,South,NeuroPlus,Online,511,70.0,35770.0,0.419
2026-06-01,East,CardioMax,Hospital,470,62.0,29140.0,0.255
2026-06-01,East,CardioMax,Retail,721,62.0,44702.0,0.349
2026-06-01,East,CardioMax,Online,707,48.0,33936.0,0.334
2026-06-01,East,GlucoCare,Hospital,380,42.0,15960.0,0.23
2026-06-01,East,GlucoCare,Retail,710,55.0,39050.0,0.219
2026-06-01,East,GlucoCare,Online,674,42.0,28308.0,0.381
2026-06-01,East,Respira,Hospital,837,70.0,58590.0,0.313
2026-06-01,East,Respira,Retail,276,70.0,19320.0,0.418
2026-06-01,East,Respira,Online,627,42.0,26334.0,0.288
2026-06-01,East,NeuroPlus,Hospital,777,48.0,37296.0,0.199
2026-06-01,East,NeuroPlus,Retail,771,62.0,47802.0,0.284
2026-06-01,East,NeuroPlus,Online,494,55.0,27170.0,0.216
2026-06-01,West,CardioMax,Hospital,358,42.0,15036.0,0.398
2026-06-01,West,CardioMax,Retail,853,42.0,35826.0,0.236
2026-06-01,West,CardioMax,Online,270,48.0,12960.0,0.298
2026-06-01,West,GlucoCare,Hospital,896,55.0,49280.0,0.298
2026-06-01,West,GlucoCare,Retail,130,42.0,5460.0,0.238
2026-06-01,West,GlucoCare,Online,775,70.0,54250.0,0.333
2026-06-01,West,Respira,Hospital,553,62.0,34286.0,0.341
2026-06-01,West,Respira,Retail,739,62.0,45818.0,0.194
2026-06-01,West,Respira,Online,685,48.0,32880.0,0.309
2026-06-01,West,NeuroPlus,Hospital,807,48.0,38736.0,0.383
2026-06-01,West,NeuroPlus,Retail,378,55.0,20790.0,0.364
2026-06-01,West,NeuroPlus,Online,657,70.0,45990.0,0.301
